"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.370461542E0,7.319244884E-1,1.184047940E0,-2.187720534E0,2.593029910E0
2.380413542E0,7.593768735E-1,1.295929515E0,-1.915964754E0,2.434544615E0
2.390365542E0,7.180131584E-1,1.351509638E0,-1.552369682E0,2.179902023E0
2.400316542E0,4.912737036E-1,1.382478685E0,-1.172085487E0,1.877866224E0
2.410268542E0,3.432994596E-1,1.425994687E0,-6.571902019E-1,1.607238106E0
2.420220542E0,2.241315418E-1,1.464382828E0,-6.435445547E-3,1.481449773E0
2.430172542E0,5.501725607E-2,1.376808348E0,4.180425900E-1,1.439926294E0
2.440123542E0,-1.018155014E-1,1.165494652E0,7.916147661E-1,1.412585614E0
2.450075542E0,-1.181929677E-1,9.244385089E-1,1.296306660E0,1.596548493E0
2.460027542E0,-9.994060993E-2,6.120662154E-1,1.878758921E0,1.978471193E0
2.469979542E0,-1.421964640E-1,2.822866148E-1,2.376628869E0,2.397555077E0
2.479930542E0,-2.639318759E-1,1.265968966E-1,2.623041061E0,2.639324008E0
2.489882542E0,-3.205928574E-1,1.981403576E-1,2.539755660E0,2.567566590E0
2.499834542E0,-2.892992901E-1,2.528510003E-1,2.394887969E0,2.425513573E0
2.509786542E0,-1.843430483E-1,2.361390732E-1,2.462357821E0,2.480514072E0
2.519737542E0,-2.023433727E-1,3.304846287E-2,2.821735296E0,2.829173930E0
2.529689542E0,-4.161774013E-1,-3.456240933E-1,3.270940622E0,3.315375122E0
2.539641542E0,-8.051494624E-1,-8.105043425E-1,3.682195179E0,3.855352680E0
2.549593542E0,-1.030231085E0,-1.379756660E0,3.828398375E0,4.197825467E0
2.559544542E0,-1.097658984E0,-1.654872834E0,4.171113040E0,4.619701650E0
2.569496542E0,-7.520647842E-1,-1.651444758E0,4.218567873E0,4.592296389E0
2.579448542E0,-4.876199247E-1,-1.695092907E0,3.739997245E0,4.135056535E0
2.589400542E0,-2.983449328E-1,-1.619083635E0,2.904680974E0,3.338804139E0
2.599351542E0,-2.119845908E-2,-1.279513749E0,1.990233749E0,2.366143525E0
2.609303542E0,1.908810759E-1,-9.135034847E-1,1.131528615E0,1.466724653E0
2.619255542E0,1.820873386E-1,-7.026692605E-1,2.869304734E-1,7.805312198E-1
2.629207542E0,4.136020683E-2,-6.158603275E-1,-3.434859127E-1,7.063831693E-1
2.639158542E0,-1.048836999E-1,-5.326657046E-1,-5.842298144E-1,7.975323313E-1
2.649110542E0,-2.169886745E-1,-4.690373272E-1,-5.071769607E-1,7.240915471E-1
2.659062542E0,-2.541190786E-1,-5.670118108E-1,1.132313311E-2,6.214556405E-1
2.669014542E0,-1.675101935E-1,-6.972132236E-1,8.438111061E-1,1.107331534E0
2.678965542E0,-1.295790497E-2,-8.757594153E-1,1.454917647E0,1.698207237E0
2.688917542E0,2.478561625E-1,-1.128243795E0,1.598432878E0,1.972144620E0
2.698869542E0,5.705616189E-1,-1.285530388E0,1.476692094E0,2.039300978E0
2.708821542E0,8.502043055E-1,-1.210009651E0,9.955475217E-1,1.782718594E0
2.718772542E0,8.478269738E-1,-1.089877509E0,1.240504342E-1,1.386373713E0
2.728724542E0,7.510033683E-1,-9.689963387E-1,-9.155190200E-1,1.530076808E0
2.738676542E0,6.182698920E-1,-7.351171412E-1,-1.947124566E0,2.171163040E0
2.748628542E0,4.375016121E-1,-4.808430018E-1,-2.821359320E0,2.895286871E0
2.758579542E0,2.509189340E-1,-2.848297150E-1,-3.431329163E0,3.452261303E0
2.768531542E0,5.545608960E-3,-1.719634695E-1,-3.689248676E0,3.693258450E0
2.778483542E0,-2.404679862E-1,-2.802862823E-2,-3.592410598E0,3.600558896E0
2.788435542E0,-3.412101763E-1,1.391306958E-1,-3.279553571E0,3.300189897E0
2.798386542E0,-2.000842279E-1,2.213788737E-1,-2.832411143E0,2.848086232E0
2.808338542E0,2.094224140E-2,3.014103721E-1,-2.498925723E0,2.517124661E0
2.818290542E0,2.272497340E-1,4.518850317E-1,-2.423813560E0,2.476028008E0
2.828242542E0,3.697017213E-1,6.018816814E-1,-2.531014073E0,2.627731561E0
2.838193542E0,4.045088805E-1,6.906495778E-1,-2.698946691E0,2.815126554E0
2.848145542E0,4.225394643E-1,7.041167387E-1,-2.867351180E0,2.982620118E0
2.858097542E0,3.477482771E-1,7.108551431E-1,-3.051268331E0,3.152218636E0
2.868049542E0,2.464575085E-1,6.875760620E-1,-3.069187124E0,3.154902811E0
2.878000542E0,1.676552410E-1,7.075872074E-1,-2.864266773E0,2.955133176E0
2.887952542E0,1.184356637E-1,6.566738927E-1,-2.434177750E0,2.523978789E0
2.897904542E0,1.583621515E-2,6.036219589E-1,-1.883468853E0,1.977894127E0
2.907856542E0,-3.355369885E-3,5.371331236E-1,-1.453839421E0,1.549894291E0
2.917807542E0,2.034244864E-1,3.601224107E-1,-1.089223425E0,1.165108296E0
2.927759542E0,5.634670825E-1,2.455418345E-1,-7.334109968E-1,9.569104638E-1
2.937711542E0,7.469741251E-1,1.842353864E-1,-3.657135183E-1,8.518564425E-1
2.947662917E0,6.774611829E-1,2.117803037E-2,2.130409634E-1,7.104847749E-1
2.957613917E0,4.554714214E-1,-1.711013706E-1,1.063869313E0,1.169849482E0
2.967565917E0,2.211437425E-1,-3.626869994E-1,2.094443995E0,2.137087285E0
2.977517917E0,-1.389837388E-1,-6.544914195E-1,3.125854245E0,3.196660798E0
2.987469917E0,-5.813347483E-1,-1.099626937E0,3.420180861E0,3.639336013E0
2.997420917E0,-8.973926514E-1,-1.038381592E0,2.992993226E0,3.292652176E0
3.007372917E0,-1.018428773E0,-4.336268815E-1,2.182705377E0,2.447331649E0
3.017324917E0,-9.508112787E-1,1.700289913E-1,1.548539756E0,1.825082826E0
3.027276917E0,-9.229080733E-1,5.320641723E-1,1.380986037E0,1.744125578E0
3.037227917E0,-8.654470465E-1,5.229410541E-1,1.541291547E0,1.843378846E0
3.047179917E0,-7.031254895E-1,1.595330930E-1,2.009048919E0,2.134505521E0
3.057131917E0,-4.899190864E-1,-3.932138506E-1,2.712379500E0,2.784176789E0
3.067083917E0,-1.832117948E-1,-7.561780080E-1,3.390703293E0,3.478827470E0
3.077034917E0,2.840741817E-1,-8.272934528E-1,3.829763115E0,3.928383652E0
3.086986917E0,6.866878700E-1,-8.960467686E-1,4.061307008E0,4.215288205E0
3.096938917E0,9.795253468E-1,-1.029864977E0,4.298641983E0,4.527517495E0
3.106890917E0,9.321424348E-1,-1.123557252E0,4.539186494E0,4.768174121E0
