"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.836923938E0,-1.834031582E0,2.296274185E0,3.387430191E0,4.484554635E0
1.846923938E0,-2.299700737E0,2.849338531E0,3.577773094E0,5.119356782E0
1.856923938E0,-2.295791149E0,3.198095798E0,3.826607704E0,5.490118419E0
1.866923938E0,-1.647779584E0,3.149655819E0,4.466301918E0,5.708183788E0
1.876923971E0,-9.217811227E-1,3.241740465E0,4.448051453E0,5.580656181E0
1.886924837E0,-4.217769504E-1,3.548867226E0,4.340465546E0,5.622454583E0
1.896924837E0,-2.594259977E-1,3.745523691E0,4.304117203E0,5.711538713E0
1.906924837E0,-8.857079744E-1,4.353566170E0,3.825397491E0,5.862736816E0
1.916924837E0,-1.624007583E0,4.973656654E0,3.749684334E0,6.436986387E0
1.926924803E0,-1.578215003E0,4.895911217E0,3.739044189E0,6.359336498E0
1.936924803E0,-2.891124964E0,6.710446358E0,5.382667542E0,9.075340420E0
1.946923969E0,-2.162075043E0,6.627749443E0,7.151638985E0,9.987370592E0
1.956923969E0,-6.585808396E-1,5.736235619E0,9.552848816E0,1.116221521E1
1.966923969E0,9.788239002E-2,3.595065117E0,1.122762585E1,1.178955709E1
1.976923969E0,4.468990564E-1,2.636813641E0,1.221346378E1,1.250284778E1
1.986924002E0,8.003011942E-1,1.972421408E0,9.557653427E0,9.791816340E0
1.996924002E0,9.807268381E-1,9.469932914E-1,5.905186653E0,6.060515723E0
2.006924002E0,-5.182733536E-1,1.575574994E0,2.062090874E0,2.646367813E0
2.016924002E0,-4.170974493E-1,1.291174293E0,-1.227334976E0,1.829604460E0
2.026924002E0,-6.711850166E-1,6.642338037E-1,-3.923584461E0,4.035617784E0
2.036924002E0,-1.014274120E0,-2.595979273E-1,-6.306235313E0,6.392554020E0
2.046924002E0,-1.234827280E0,-1.496774912E0,-7.919934750E0,8.154170711E0
2.056924002E0,-1.787566781E0,-9.959771633E-1,-8.396916389E0,8.642659912E0
2.066924002E0,-2.171056032E0,-1.462053299E0,-8.747791290E0,9.130987712E0
