"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.178091083E0,2.520784369E-1,2.630577830E0,2.494998148E0,3.634349875E0
1.188044083E0,1.499533072E-1,2.397535881E0,2.942290265E0,3.798386012E0
1.197997083E0,-1.756174676E-3,2.098337364E0,3.024787461E0,3.681353279E0
1.207950083E0,-2.907366088E-1,1.812812415E0,2.910938664E0,3.441566581E0
1.217903083E0,-5.508806585E-1,1.513552503E0,2.938134064E0,3.350662988E0
1.227857083E0,-6.203195603E-1,1.091480523E0,2.991988090E0,3.244706276E0
1.237810083E0,-5.781860227E-1,4.281800540E-1,2.783473456E0,2.874954211E0
1.247763083E0,-3.625623807E-1,-4.744620815E-2,2.243844448E0,2.273442441E0
1.257716083E0,-6.983873262E-2,-9.822415978E-2,1.297876053E0,1.303459889E0
1.267669083E0,-3.875901813E-2,-1.013986132E-1,3.907624054E-1,4.055603503E-1
1.277622083E0,-2.471880816E-1,-1.639357540E-1,1.917009652E-1,3.531658805E-1
1.287575083E0,-3.343452528E-1,-3.944267093E-1,9.462876534E-1,1.078341087E0
1.297528083E0,-2.312006903E0,-8.352697858E-1,2.301740069E0,3.367648866E0
1.307481083E0,-2.315068067E0,-8.997787540E-1,3.394530880E0,4.206183764E0
1.317434083E0,-1.687590930E0,-1.308002553E0,3.041948454E0,3.716488157E0
1.327387083E0,-1.606727738E0,-2.024942090E0,2.712782373E0,3.747152611E0
1.337340083E0,-8.509984305E-1,-2.477956438E0,2.623667883E0,3.707842984E0
1.347293083E0,1.623393728E-1,-2.630590109E0,2.167737089E0,3.412541938E0
1.357246083E0,8.222035246E-1,-2.946504938E0,1.590867750E0,3.448009597E0
1.367199083E0,1.080071217E0,-3.372814906E0,1.904443985E0,4.021111926E0
1.377152083E0,1.065310359E0,-3.693753955E0,2.589573938E0,4.635148069E0
1.387105083E0,7.012491180E-1,-3.940110892E0,3.097981737E0,5.060999408E0
1.397058083E0,1.640573030E-1,-4.097742470E0,3.094263493E0,5.137399606E0
1.407011083E0,-4.256162692E-1,-4.248901473E0,2.594125410E0,4.996378647E0
1.416964083E0,-8.129571033E-1,-4.304495630E0,2.087425582E0,4.852517640E0
1.426917083E0,-9.230598816E-1,-4.266969370E0,1.894080380E0,4.758845200E0
1.436870083E0,-6.437011139E-1,-4.193043022E0,1.873529171E0,4.637464012E0
1.446823083E0,-2.763234233E-1,-4.158734484E0,1.891383060E0,4.576981213E0
1.456776083E0,-6.413824554E-2,-4.152658350E0,1.965057392E0,4.594576764E0
1.466729083E0,8.024799161E-2,-4.093456169E0,1.960659701E0,4.539494422E0
1.476682083E0,2.033425157E-1,-4.017781504E0,1.933992890E0,4.463658240E0
1.486635083E0,1.922300834E-1,-3.977642123E0,1.734219258E0,4.343513059E0
1.496588083E0,1.532830407E-1,-3.947610238E0,1.259047617E0,4.146362645E0
1.506541083E0,1.638926125E-1,-3.876645505E0,7.603748471E-1,3.953910858E0
1.516495083E0,1.733459888E-1,-3.812377589E0,4.229758859E-1,3.839684923E0
1.526448083E0,1.556306430E-1,-3.602985288E0,1.516463685E-1,3.609531895E0
1.536401083E0,1.153899221E-1,-3.329943413E0,7.095420778E-2,3.332697477E0
1.546353667E0,-3.390986737E-2,-3.032982919E0,-3.642786115E-1,3.054968768E0
1.556306667E0,-3.915902980E-1,-2.797213243E0,-7.322830689E-1,2.917873092E0
1.566259667E0,-5.022316781E-1,-2.542948825E0,-8.637623906E-1,2.732198904E0
1.576212667E0,-4.215490922E-1,-2.520810682E0,-7.881584769E-1,2.674581073E0
1.586165667E0,-2.526762782E-1,-2.523791592E0,-5.990916824E-1,2.606200327E0
1.596118667E0,-5.372962243E-1,-2.435270887E0,-6.172385162E-1,2.569088342E0
1.606071667E0,3.702632002E-1,-2.358889147E0,-6.733916670E-1,2.480908943E0
1.616024667E0,4.318945708E-1,-2.479332873E0,-8.803497720E-1,2.666203318E0
1.625977667E0,-3.239754899E-3,-2.534794883E0,-1.376482512E0,2.884423634E0
1.635930667E0,7.640732110E-2,-2.265024818E0,-1.601631305E0,2.775139337E0
1.645883667E0,5.928942368E-2,-1.940966864E0,-1.964839291E0,2.762509917E0
1.655836667E0,-1.687953749E-1,-1.721543372E0,-2.290468392E0,2.870269833E0
1.665789667E0,-3.115582514E-1,-1.647814514E0,-2.448864201E0,2.968046006E0
1.675742667E0,-3.671966645E-1,-1.616070711E0,-2.466704056E0,2.971724556E0
1.685695667E0,-4.348518001E-1,-1.515518044E0,-2.407409196E0,2.877761295E0
1.695648667E0,-3.840979683E-1,-1.410341983E0,-2.252735724E0,2.685407605E0
1.705601667E0,-2.564820298E-1,-1.378782514E0,-2.242680852E0,2.645078762E0
1.715554667E0,-1.615343025E-1,-1.376875152E0,-2.174468404E0,2.578796494E0
1.725507667E0,-2.329433871E-2,-1.339383390E0,-1.857206669E0,2.289914213E0
1.735460667E0,1.372259561E-1,-1.235551751E0,-1.468199013E0,1.923805456E0
1.745413667E0,2.561333713E-1,-1.167595995E0,-1.103407016E0,1.626773418E0
1.755366667E0,2.653182508E-1,-1.194406356E0,-8.509271675E-1,1.490327938E0
1.765319667E0,2.220469911E-1,-1.316958295E0,-6.797791654E-1,1.498593918E0
1.775272667E0,1.156318690E-1,-1.431364039E0,-5.757022351E-1,1.547128568E0
1.785225667E0,5.399223916E-2,-1.514868711E0,-5.851618606E-1,1.624855925E0
1.795178667E0,3.152720236E-2,-1.516987449E0,-5.343589121E-1,1.608659172E0
1.805131667E0,1.107185085E-1,-1.654944755E0,-2.953171349E-1,1.684729338E0
1.815084667E0,7.124813086E-2,-1.547356133E0,-1.719081402E-2,1.549090967E0
1.825037667E0,6.841436916E-2,-1.572373299E0,2.285080183E-1,1.590362925E0
1.834991667E0,3.909241905E-2,-1.639229632E0,4.371729255E-1,1.696974417E0
1.844943667E0,2.048673416E-2,-1.603184325E0,3.165963221E-1,1.634274432E0
1.854897667E0,3.316617234E-2,-1.455667699E0,-1.639208436E-2,1.456137749E0
1.864850667E0,1.541072629E-2,-1.309918393E0,-3.049679643E-1,1.345038716E0
1.874803667E0,1.426509914E-2,-1.079542336E0,-4.343931592E-1,1.163749357E0
1.884756667E0,-4.249020866E-2,-9.306482519E-1,-4.978629309E-1,1.056304447E0
1.894709667E0,-1.325353837E-1,-8.998671931E-1,-5.396640909E-1,1.057621825E0
1.904662667E0,-1.977797306E-1,-8.575767674E-1,-6.505308080E-1,1.094415399E0
1.914615667E0,-2.609018305E-1,-8.034701420E-1,-6.705844188E-1,1.078571971E0
1.924568667E0,-2.579760848E-1,-7.535477842E-1,-6.423721880E-1,1.023243838E0
1.934521667E0,-2.085315176E-1,-7.292062640E-1,-6.477627361E-1,9.974085079E-1
1.944474667E0,-2.094110850E-1,-6.993958430E-1,-6.300170213E-1,9.643282609E-1
1.954427667E0,-1.748806088E-1,-6.593431467E-1,-5.909289694E-1,9.025041048E-1
1.964380667E0,-1.119736316E-1,-6.302092485E-1,-4.215836638E-1,7.664428072E-1
1.974333667E0,-2.038013211E-2,-6.022352917E-1,-2.836881924E-1,6.660192842E-1
1.984286667E0,1.367662827E-2,-5.720108879E-1,-2.417431909E-1,6.211467430E-1
1.994239667E0,3.938741108E-2,-5.761678196E-1,-2.037661099E-1,6.124061986E-1
2.004192667E0,1.256529002E-1,-7.429561378E-1,-9.530493736E-2,7.595100428E-1
2.014145667E0,1.273506119E-1,-6.317175378E-1,1.024595904E-1,6.525206461E-1
2.024098667E0,2.303676886E-1,-5.557937814E-1,3.563024247E-1,6.992334498E-1
2.034051667E0,3.196847848E-1,-6.297069727E-1,4.888903785E-1,8.589196908E-1
2.044004667E0,4.696210255E-1,-7.062160353E-1,4.388317806E-1,9.549127331E-1
2.053957667E0,6.359260713E-1,-7.107642920E-1,3.780751169E-1,1.025928185E0
2.063910667E0,6.846289191E-1,-6.761139844E-1,3.308717144E-1,1.017508215E0
2.073863667E0,7.345521540E-1,-6.083957720E-1,2.983863384E-1,9.993731482E-1
2.083816667E0,7.032688194E-1,-6.012718168E-1,2.856680596E-1,9.683599900E-1
2.093769667E0,6.226650247E-1,-6.249071395E-1,1.970862508E-1,9.039157352E-1
2.103722667E0,6.479081856E-1,-6.036452016E-1,4.901779354E-2,8.868907996E-1
2.113675667E0,6.570553505E-1,-5.839422776E-1,-3.763618827E-2,8.798447589E-1
2.123628667E0,6.182683571E-1,-4.975470351E-1,-9.535405397E-2,7.993129607E-1
2.133581667E0,6.367918246E-1,-4.117221884E-1,-1.158865517E-1,7.671040876E-1
2.143534667E0,6.875148855E-1,-3.555161203E-1,-1.446028125E-1,7.873870732E-1
2.153487667E0,6.935878037E-1,-3.704329522E-1,-1.680676889E-1,8.040717391E-1
2.163440667E0,6.775085454E-1,-3.719802716E-1,-1.898807269E-1,7.958905968E-1
2.173393667E0,6.801787495E-1,-3.067249064E-1,-4.514851552E-1,8.721021413E-1
2.183346667E0,6.854344462E-1,-2.411928217E-1,-7.159500414E-1,1.020087653E0
2.193299667E0,6.683097788E-1,-2.222732784E-1,-8.583174634E-1,1.110293762E0
2.203253667E0,7.176726311E-1,-1.849190721E-1,-7.836432570E-1,1.078585102E0
2.213206667E0,8.217583323E-1,-2.356597477E-1,-6.213210422E-1,1.056816971E0
2.223159667E0,9.994385514E-1,-2.903870550E-1,-3.998887396E-1,1.114949803E0
2.233112667E0,1.105142689E0,-3.216181301E-1,-2.072621602E-1,1.169502538E0
2.243065667E0,1.187770497E0,-3.492044165E-1,-2.116259372E-1,1.255996821E0
2.253018667E0,1.201693887E0,-3.610660051E-1,-3.352968872E-1,1.298792077E0
2.262971667E0,1.127804011E0,-4.404673930E-1,-4.789945507E-1,1.302071116E0
2.272924667E0,9.821832718E-1,-6.018903060E-1,-7.418222165E-1,1.370129965E0
2.282877667E0,8.926136490E-1,-4.796948279E-1,-1.108899890E0,1.502173499E0
2.292830667E0,8.850718372E-1,-4.567863140E-1,-1.196160228E0,1.556536278E0
2.302783667E0,8.687738930E-1,-4.101644902E-1,-1.276005712E0,1.597245618E0
2.312736667E0,9.828254423E-1,-4.461954716E-1,-1.313003969E0,1.699710467E0
2.322689667E0,1.181099628E0,-5.413162947E-1,-1.286219628E0,1.828217874E0
2.332642667E0,1.394383762E0,-5.448217736E-1,-1.023583167E0,1.813521255E0
2.342595667E0,1.516404774E0,-5.676534697E-1,-7.905301076E-1,1.801846762E0
2.352548667E0,1.567170593E0,-5.981211177E-1,-4.209480715E-1,1.729442054E0
2.362501667E0,1.628351326E0,-6.208732186E-1,-5.712144971E-2,1.743638281E0
2.372454667E0,1.811130902E0,-7.227331770E-1,4.143436414E-1,1.993544342E0
2.382407667E0,1.933112884E0,-5.599319290E-1,3.290567386E-1,2.039295840E0
2.392360667E0,2.115028095E0,-4.129378977E-1,-1.714403629E-3,2.154962758E0
2.402313667E0,2.279021152E0,-4.061595129E-1,-5.465760845E-1,2.378581168E0
2.412266667E0,2.306905207E0,-4.204663340E-1,-1.286896151E0,2.674828084E0
2.422219667E0,2.220445792E0,-5.163872755E-1,-1.837567041E0,2.928086058E0
2.432172667E0,2.106500223E0,-6.151704291E-1,-1.988957886E0,2.961710877E0
2.442125667E0,2.157927362E0,-3.796600047E-1,-2.093601412E0,3.030504758E0
2.452078667E0,2.200046757E0,-2.444442391E-1,-1.846340788E0,2.882521990E0
