Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.330827083E0,-2.356514520E-1,-6.872104649E-2,4.960415232E-1,5.534540467E-1
1.340778083E0,1.113912123E-1,7.743961047E-2,7.620775563E-1,7.740588461E-1
1.350730083E0,3.674983808E-1,2.212539991E-1,9.085742819E-1,1.004746544E0
1.360681083E0,4.246598109E-1,2.916882432E-1,8.260022414E-1,9.734976574E-1
1.370632083E0,3.037157100E-1,2.134034908E-1,6.483240688E-1,7.470665168E-1
1.380583083E0,3.792043604E-2,1.825584780E-2,4.316157317E-1,4.336627437E-1
1.390534083E0,-1.999873468E-1,-1.016030830E-1,3.029190999E-1,3.769324959E-1
1.400485083E0,-3.041000548E-1,-1.699135087E-1,2.000835335E-1,4.017223720E-1
1.410437083E0,-1.973991865E-1,4.949923865E-3,5.623676598E-1,5.960271180E-1
1.420388083E0,1.343152944E-1,2.443669096E-1,1.056478432E0,1.092658438E0
1.430339083E0,3.646265209E-1,2.697635234E-1,1.220839571E0,1.302372496E0
1.440290083E0,4.680411809E-1,1.447654017E-1,1.244165869E0,1.337149310E0
1.450241083E0,3.968516227E-1,4.126628593E-2,9.362538314E-1,1.017725579E0
1.460192083E0,1.657985673E-1,-4.831912436E-2,5.254945332E-1,5.531441106E-1
1.470143083E0,-6.755419806E-2,-1.217511629E-1,2.761487925E-1,3.092653730E-1
1.480095083E0,-2.070171436E-1,-1.186808630E-1,1.409278375E-1,2.771315579E-1
1.490046083E0,-2.210380541E-1,-1.154949345E-2,1.801562226E-1,2.853900431E-1
1.499997083E0,-6.719528865E-3,5.195009910E-2,3.378684926E-1,3.419050792E-1
1.509948083E0,2.517710378E-1,2.286312483E-2,3.659544235E-1,4.447853618E-1
1.519899083E0,3.147539375E-1,3.940453246E-2,1.875406712E-1,3.685027296E-1
1.529850083E0,2.042798975E-1,-1.874851227E-2,-5.741790354E-2,2.130225314E-1
1.539802083E0,8.487949803E-2,-5.138832785E-2,-3.410534710E-1,3.551939745E-1
1.549753083E0,-1.215349803E-1,-3.364451341E-2,-5.934023416E-1,6.066539737E-1
1.559704083E0,-2.444844935E-1,-5.722392216E-2,-6.827723551E-1,7.274787514E-1
1.569655083E0,-3.059589394E-1,-1.358563281E-1,-5.818535060E-1,6.712833358E-1
1.579606083E0,-3.331788795E-1,-1.643393581E-1,-5.622191405E-1,6.738738401E-1
1.589557083E0,-2.811176650E-1,-1.600271827E-1,-6.934780222E-1,7.652108259E-1
1.599508083E0,-1.995447309E-1,-1.307612105E-1,-8.179167116E-1,8.520002000E-1
1.609460083E0,-6.899796696E-2,1.156155333E-2,-8.202129132E-1,8.231911150E-1
1.619411083E0,6.019608015E-2,1.229458952E-1,-7.346500218E-1,7.472950660E-1
1.629362083E0,2.288763928E-1,1.557925560E-1,-5.737901956E-1,6.370956853E-1
1.639313083E0,2.994241095E-1,1.493112829E-1,-4.969536889E-1,5.990923346E-1
1.649264083E0,2.959082335E-1,2.092119142E-2,-6.096365511E-1,6.779794270E-1
1.659215083E0,3.312983418E-1,-1.184973335E-1,-7.827807927E-1,8.582225695E-1
1.669166083E0,3.198277492E-1,-2.880052648E-1,-1.084228733E0,1.166528511E0
1.679118083E0,2.745695692E-1,-3.705891459E-1,-1.449141768E0,1.520768433E0
1.689069083E0,2.790604501E-1,-3.929742609E-1,-1.663697160E0,1.732106159E0
1.699020083E0,2.669172998E-1,-4.724743936E-1,-1.840591221E0,1.918919733E0
1.708971083E0,3.029836934E-1,-6.597255546E-1,-1.863064409E0,1.999511420E0
1.718922083E0,2.671879711E-1,-8.471595872E-1,-1.938512787E0,2.132346267E0
1.728873083E0,-2.916228457E-1,-1.053040197E0,-2.536678271E0,2.762005465E0
1.738825083E0,-8.346465457E-1,-1.198628265E0,-3.451525446E0,3.747849046E0
1.748776083E0,-9.373054531E-1,-1.286684921E0,-4.636919196E0,4.902562516E0
1.758727083E0,-8.086709480E-1,-1.063062836E0,-6.121714361E0,6.265735233E0
1.768678083E0,-6.063325088E-1,-6.455574587E-1,-7.010743740E0,7.066463849E0
1.778629083E0,-4.702251525E-1,-1.017019228E0,-8.643612624E0,8.715932481E0
1.788580083E0,5.420982867E-2,-1.396340679E0,-9.429957295E0,9.532932423E0
1.798531083E0,4.483078513E-1,-1.279279714E0,-9.703031622E0,9.797262841E0
1.808483083E0,5.002464753E-1,-1.255116827E0,-9.697675572E0,9.791347011E0
1.818434083E0,4.654622299E-1,-1.251651182E0,-9.679577270E0,9.771258972E0
1.828385083E0,4.764408889E-1,-1.260863616E0,-9.670609396E0,9.764090283E0
1.838336083E0,4.659188974E-1,-1.247584151E0,-9.661205319E0,9.752560425E0
1.848287083E0,4.655291805E-1,-1.262253207E0,-9.652984133E0,9.746286639E0
1.858238083E0,4.773978588E-1,-1.253459579E0,-9.655566849E0,9.748283993E0
1.868190083E0,4.813905935E-1,-1.260360902E0,-9.640782748E0,9.734728476E0
1.878141083E0,4.557276025E-1,-1.238169841E0,-9.633082550E0,9.723015562E0
1.888092083E0,4.723130836E-1,-1.227943938E0,-9.617459375E0,9.707030998E0
1.898043083E0,4.706249924E-1,-1.224914934E0,-9.633466712E0,9.722426928E0
1.907994083E0,4.449163932E-1,-1.227223854E0,-9.610761389E0,9.699008375E0
1.917945083E0,4.683381098E-1,-1.221314292E0,-9.611475919E0,9.700073120E0
1.927896083E0,4.637345238E-1,-1.222765863E0,-9.594731832E0,9.683443860E0
1.937848083E0,4.592555201E-1,-1.208477388E0,-9.582402978E0,9.669218172E0
1.947799083E0,4.683793692E-1,-1.206131631E0,-9.564159080E0,9.651283420E0
